Juz #,Surah #,Verse #
1,2,7
1,2,20
1,2,29
1,2,39
1,2,46
1,2,59
1,2,61
1,2,71
1,2,82
1,2,86
1,2,96
1,2,103
1,2,112
1,2,121
1,2,129
1,2,141
2,2,147
2,2,152
2,2,163
2,2,167
2,2,176
2,2,182
2,2,188
2,2,196
2,2,210
2,2,216
2,2,221
2,2,228
2,2,231
2,2,235
2,2,242
2,2,248
3,2,253
3,2,257
3,2,260
3,2,266
3,2,273
3,2,281
3,2,283
3,2,286
3,3,9
3,3,20
3,3,30
3,3,41
3,3,54
3,3,63
3,3,71
3,3,80
3,3,91
4,3,101
4,3,109
4,3,120
4,3,129
4,3,143
4,3,148
4,3,155
4,3,171
4,3,180
4,3,189
4,3,200
4,4,10
4,4,14
4,4,22
5,4,25
5,4,33
5,4,42
5,4,50
5,4,59
5,4,70
5,4,76
5,4,87
5,4,91
5,4,96
5,4,100
5,4,104
5,4,112
5,4,115
5,4,126
5,4,134
5,4,141
6,4,152
6,4,162
6,4,171
6,4,176
6,5,5
6,5,11
6,5,19
6,5,26
6,5,34
6,5,43
6,5,50
6,5,56
6,5,66
6,5,77
7,5,86
7,5,93
7,5,100
7,5,108
7,5,113
7,5,115
7,5,120
7,6,10
7,6,20
7,6,30
7,6,41
7,6,50
7,6,55
7,6,60
7,6,70
7,6,82
7,6,90
7,6,94
7,6,100
7,6,110
8,6,121
8,6,129
8,6,140
8,6,144
8,6,150
8,6,154
8,6,165
8,7,10
8,7,25
8,7,31
8,7,39
8,7,47
8,7,53
8,7,58
8,7,64
8,7,72
8,7,84
9,7,93
9,7,99
9,7,108
9,7,126
9,7,129
9,7,141
9,7,147
9,7,151
9,7,162
9,7,171
9,7,181
9,7,188
9,7,206
9,8,10
9,8,19
9,8,28
9,8,37
10,8,44
10,8,48
10,8,58
10,8,64
10,8,69
10,8,75
10,9,6
10,9,16
10,9,24
10,9,29
10,9,37
10,9,42
10,9,59
10,9,66
10,9,72
10,9,80
10,9,89
11,9,99
11,9,110
11,9,118
11,9,122
11,9,123
11,9,129
11,10,10
11,10,20
11,10,30
11,10,40
11,10,53
11,10,60
11,10,70
11,10,82
11,10,92
11,10,103
11,10,109
12,11,8
12,11,24
12,11,35
12,11,49
12,11,60
12,11,68
12,11,83
12,11,95
12,11,109
12,11,123
12,12,6
12,12,20
12,12,29
12,12,35
12,12,42
12,12,49
13,12,57
13,12,68
13,12,79
13,12,93
13,12,104
13,12,111
13,13,7
13,13,18
13,13,26
13,13,31
13,13,37
13,13,43
13,14,6
13,14,12
13,14,21
13,14,27
13,14,34
13,14,41
13,14,52
14,15,15
14,15,25
14,15,44
14,15,59
14,15,79
14,15,99
14,16,9
14,16,21
14,16,25
14,16,34
14,16,40
14,16,50
14,16,60
14,16,65
14,16,70
14,16,76
14,16,83
14,16,89
14,16,100
14,16,110
14,16,119
14,16,128
15,17,10
15,17,22
15,17,30
15,17,40
15,17,52
15,17,60
15,17,70
15,17,77
15,17,84
15,17,93
15,17,100
15,17,111
15,18,12
15,18,17
15,18,22
15,18,31
15,18,44
15,18,49
15,18,53
15,18,59
15,18,70
16,18,82
16,18,101
16,18,110
16,19,15
16,19,40
16,19,50
16,19,66
16,19,82
16,19,98
16,20,24
16,20,54
16,20,76
16,20,89
16,20,104
16,20,115
16,20,128
16,20,135
17,21,10
17,21,29
17,21,41
17,21,50
17,21,75
17,21,93
17,21,112
17,22,10
17,22,22
17,22,25
17,22,33
17,22,38
17,22,48
17,22,57
17,22,64
17,22,72
17,22,78
18,23,22
18,23,32
18,23,50
18,23,77
18,23,92
18,23,118
18,24,10
18,24,20
18,24,26
18,24,34
18,24,40
18,24,50
18,24,57
18,24,61
18,24,64
18,25,9
18,25,20
19,25,34
19,25,44
19,25,60
19,25,77
19,26,9
19,26,33
19,26,50
19,26,68
19,26,104
19,26,122
19,26,140
19,26,159
19,26,175
19,26,191
19,26,227
19,27,14
19,27,31
19,27,44
19,27,58
20,27,66
20,27,82
20,27,93
20,28,13
20,28,21
20,28,28
20,28,42
20,28,50
20,28,60
20,28,75
20,28,82
20,28,88
20,29,13
20,29,22
20,29,30
20,29,44
21,29,51
21,29,63
21,29,69
21,30,10
21,30,19
21,30,27
21,30,40
21,30,53
21,30,60
21,31,11
21,31,19
21,31,30
21,31,34
21,32,11
21,32,22
21,32,30
21,33,7
21,33,20
21,33,27
22,33,34
22,33,40
22,33,52
22,33,58
22,33,68
22,33,73
22,34,9
22,34,21
22,34,30
22,34,36
22,34,45
22,34,54
22,35,7
22,35,14
22,35,26
22,35,37
22,35,45
22,36,12
23,36,32
23,36,50
23,36,67
23,36,73
23,37,21
23,37,74
23,37,113
23,37,138
23,37,182
23,38,14
23,38,26
23,38,39
23,38,64
23,38,88
23,39,9
23,39,21
23,39,31
24,39,41
24,39,52
24,39,63
24,39,70
24,39,75
24,40,9
24,40,20
24,40,27
24,40,37
24,40,50
24,40,60
24,40,68
24,40,78
24,40,85
24,41,8
24,41,18
24,41,25
24,41,32
24,41,44
25,41,54
25,42,9
25,42,19
25,42,29
25,42,42
25,42,53
25,43,15
25,43,25
25,43,35
25,43,45
25,43,56
25,43,67
25,43,89
25,44,29
25,44,42
25,44,59
25,45,11
25,45,21
25,45,26
25,45,37
26,46,10
26,46,20
26,46,26
26,46,35
26,47,11
26,47,19
26,47,28
26,47,38
26,48,10
26,48,17
26,48,26
26,48,29
26,49,10
26,49,18
26,50,15
26,50,29
26,50,45
26,51,23
27,51,46
27,51,60
27,52,28
27,52,49
27,53,25
27,53,32
27,53,62
27,54,22
27,54,40
27,54,55
27,55,25
27,55,45
27,55,78
27,56,38
27,56,74
27,56,96
27,57,10
27,57,19
27,57,29
28,58,6
28,58,13
28,58,22
28,59,10
28,59,17
28,59,24
28,60,6
28,60,13
28,61,9
28,61,14
28,62,8
28,62,11
28,63,8
28,63,11
28,64,10
28,64,18
28,65,8
28,65,12
28,66,7
28,66,12
29,67,14
29,67,30
29,68,33
29,68,52
29,69,37
29,69,52
29,70,35
29,70,44
29,71,20
29,71,28
29,72,19
29,72,28
29,73,19
29,73,20
29,74,31
29,74,56
29,75,30
29,75,40
29,76,22
29,76,31
29,77,40
29,77,50
30,78,30
30,78,40
30,79,26
30,79,46
30,80,42
30,81,29
30,82,19
30,83,36
30,84,25
30,85,22
30,86,17
30,87,19
30,88,26
30,89,30
30,90,20
30,91,15
30,92,21
30,93,11
30,94,8
30,95,8
30,96,19
30,97,5
30,98,8
30,99,8
30,100,11
30,101,11
30,102,8
30,103,3
30,104,9
30,105,5
30,106,5
30,107,7
30,108,3
30,109,6
30,110,3
30,111,5
30,112,4
30,113,5
30,114,6